2026-07-10 12:25:59,650 | INFO | Email loaded: gdhnss
2026-07-10 12:25:59,658 | INFO | Reading latest 5 emails
2026-07-10 12:26:10,191 | INFO | Attachment found in: post 
2026-07-10 12:26:10,191 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:10,191 | INFO | Email loaded: post 
2026-07-10 12:26:10,191 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:26:10,230 | INFO | Email loaded: FRiday
2026-07-10 12:26:10,248 | INFO | Attachment found in: email
2026-07-10 12:26:10,248 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:10,248 | INFO | Email loaded: email
2026-07-10 12:26:10,254 | INFO | Email loaded: gdhnss
2026-07-10 12:26:10,257 | INFO | Reading latest 5 emails
2026-07-10 12:26:16,901 | INFO | Attachment found in: post 
2026-07-10 12:26:16,901 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:16,902 | INFO | Email loaded: post 
2026-07-10 12:26:16,903 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:26:16,932 | INFO | Email loaded: FRiday
2026-07-10 12:26:16,934 | INFO | Attachment found in: email
2026-07-10 12:26:16,934 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:16,934 | INFO | Email loaded: email
2026-07-10 12:26:16,944 | INFO | Email loaded: gdhnss
2026-07-10 12:26:16,966 | INFO | Reading latest 5 emails
2026-07-10 12:26:25,071 | INFO | Attachment found in: post 
2026-07-10 12:26:25,075 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:25,075 | INFO | Email loaded: post 
2026-07-10 12:26:25,082 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:26:25,110 | INFO | Email loaded: FRiday
2026-07-10 12:26:25,112 | INFO | Attachment found in: email
2026-07-10 12:26:25,118 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:25,118 | INFO | Email loaded: email
2026-07-10 12:26:25,119 | INFO | Email loaded: gdhnss
